Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
buffDrunkGrandmasGinDesc,buffs,Buff,,,You are the cleverest drunk in the whole world. Don't let anyone tell you different.,,Du bist der klügste Betrunkene der Welt. Lass dir von niemandem etwas anderes erzählen.,Eres el borracho más listo del mundo. No dejes que nadie te diga lo contrario.,Vous êtes l'ivrogne le plus intelligent du monde. Ne laissez personne vous dire différent.,Sei l'ubriaco più intelligente del mondo. Non lasciare che nessuno ti dica diversamente.,あなたは全世界で最も賢い酔っぱらいです。誰にも違うことを言わせないでください。,당신은 전 세계에서 가장 영리한 술꾼입니다. 아무도 당신에게 다르게 말하지 마십시오.,"Jesteś najmądrzejszym pijakiem na całym świecie. Nie pozwól nikomu powiedzieć, co innego",Você é o bêbado mais esperto do mundo. Não deixe ninguém lhe dizer algo diferente.,Ты самый умный пьяница во всем мире. Не позволяйте никому говорить вам иное.,Sen dünyadaki en zeki sarhoşsun. Kimsenin size farklı söylemesine izin vermeyin.,您是全世界最聪明的醉汉。不要让任何人告诉你与众不同。,您是全世界最聰明的醉漢。不要讓任何人告訴你與眾不同。
buffDrunkGrandmasGinName,buffs,Buff,,,Grandma's Gin,,Omas Gin,Ginebra de la abuela,Gin de grand-mère,Gin della nonna,おばあちゃんのジン,할머니의 진,Babcia Gin,Gin da vovó,Бабушкин джин,Büyükannemin Cin,奶奶的杜松子酒,奶奶的杜松子酒
buffDrunkGrandmasGinTooltip,buffs,Buff,,,You are smart drunk.,,Du bist schlau betrunken.,Eres un borracho inteligente.,Vous êtes ivre intelligent.,Sei un ubriaco intelligente.,あなたは賢く酔っています。,당신은 똑똑한 술에 취해 있습니다.,Jesteś mądry pijany.,Você é um bêbado esperto.,Ты умный пьяный.,Sen akıllı sarhoşsun.,你喝醉了,你喝醉了
drinkJarSnowberryTea,items,Food,,,Snowberry Tea,,Schneebeertee,Té de baya de nieve,Thé aux symphorine,Infuso di sinforina,セッコウボク茶,스노우베리 차,Herbata z Śnieguliczka,Chá de baga-da-neve,Чай из Волчья ягода,Kar üzümü çayı,雪莓茶,白漿果茶
drinkJarSnowberryTeaDesc,items,Food,,,Freshens your breath and calms your stomach.,,Erfrischt Ihren Atem und beruhigt Ihren Magen.,Refresca tu aliento y calma tu estómago.,Rafraîchit votre haleine et calme votre estomac.,Rinfresca il tuo respiro e calma lo stomaco.,息をリフレッシュし、お腹を落ち着かせます。,숨을 맑게하고 위장을 ​​진정시킵니다.,Odświeża oddech i uspokaja żołądek.,Refresca sua respiração e acalma seu estômago.,Освежает дыхание и успокаивает желудок.,Nefesinizi ferahlatır ve midenizi rahatlatır.,清新口气，使胃部平静。,清新口氣，使您的胃部平靜。
drinkJarSnowberryTeaSchematic,items,Food,,,Snowberry Recipe,,Rezept – Schneebeertee,Receta de té de baya de nieve,Composition de thé aux symphorine,Ricetta del infuso di sinforina,セッコウボク茶レシピ,스노우베리 차 레시피,Herbata z Śnieguliczka — przepis,Receita de chá de baga-da-neve,Рецепт чая из Волчья ягода,Kar üzümü çayı Tarifi,秋麒麟茶配方,白漿果茶配方
drinkJarGrandmasGin,items,Food,,,Grandma's Gin,,Omas Gin,Ginebra de la abuela,Gin de grand-mère,Gin della nonna,おばあちゃんのジン,할머니의 진,Babcia Gin,Gin da vovó,Бабушкин джин,Büyükannemin Cin,奶奶的杜松子酒,奶奶的杜松子酒
drinkJarGrandmasGinDesc,items,Food,,,How intelligent people get drunk and belligerent.,,Wie intelligente Menschen betrunken und kriegerisch werden.,Cómo la gente inteligente se emborracha y se pone beligerante.,Comment les gens intelligents sont ivres et belliqueux.,Come le persone intelligenti si ubriacano e sono bellicose.,知的な人々がどのように酔って好戦的になるか。,똑똑한 사람들이 취하고 호전적이되는 방법.,Jak inteligentni ludzie upijają się i są agresywni.,Como as pessoas inteligentes ficam bêbadas e agressivas.,Как умные люди напиваются и воинственны.,İnsanlar ne kadar zeki sarhoş ve kavgacı oluyor.,聪明的人如何醉酒和交战。,聰明的人如何醉酒和交戰。
drinkJarGrandmasGinSchematic,items,Food,,,Grandma's Gin Recipe,,Omas Gin Rezept,Receta de ginebra de la abuela,Recette de gin de grand-mère,Ricetta del gin della nonna,おばあちゃんのジンレシピ,할머니의 진 레시피,Przepis babci na dżin,Receita de gim da vovó,Рецепт бабушкиного джина,Büyükannemin Cin Tarifi,奶奶的杜松子酒食谱,奶奶的杜松子酒食譜
medicalSnowberryPaste,items,Medical,,,Snowberry Paste,,Schneebeere Paste,Pasta de Baya de nieve,Pâte de symphorine,Pasta sinforina,セッコウボクペースト,스노우베리 페이스트,Pasta Śnieguliczka,Pasta de Baga-da-neve,Волчья ягода паста,Kar Üzümü Ezmesi,雪莓酱,白漿果醬
