Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
meleeKatanaSword,items,Melee,,,Survivor's Katana,,Katana des Überlebenden,,,,,,,,,,,
meleeKatanaSwordDesc,items,Melee,,,"Based off the famous Japanese Katana. Though not the same quality, it can compete with it fairly well!\nHas a 10% base chance to dismember limbs and harvests a little better.\n\nRepair with Repair Kits.",,"Basiert auf dem berühmten japanischen Katana. Obwohl es nicht die gleiche Qualität hat, kann es mit ihm ziemlich gut mithalten!\nHat eine 10%ige Grundchance, Gliedmaßen zu zerstückeln und erntet etwas besser.\n\nReparieren mit Reparatur-Kit.",,,,,,,,,,,
meleeTantoKnife,items,Melee,,,Tanto,,Tanto,,,,,,,,,,,
meleeTantoKnifeDesc,items,Melee,,,"A Tanto was a very common knife for the Japanese. It never failed them and was of the upmost top quality of blades.\nHas a base 10% base chance to dismember limbs and harvests a little better.\n\nRepair with Repair Kits.",,"Ein Tanto war ein sehr gebräuchliches Messer für die Japaner. Es hat sie nie im Stich gelassen und war von höchster Klingenqualität.\nHat eine Grundchance von 10%, Gliedmaßen zu zerstückeln und erntet etwas besser. Reparieren mit Reparatur-Kits.",,,,,,,,,,,
partsKatanaBlade,items,Part,,,Katana Blade,,Katana Klinge,,,,,,,,,,,
partsKatanaHandle,items,Part,,,Katana Handle,,Katana Griff,,,,,,,,,,,
partsKatanaSpacer,items,Part,,,Katana Spacer,,Katana Distanzstück,,,,,,,,,,,
q_wayoftheblade,items,Quest Note,,,Way of the Blade Note,,Notiz: Weg der Klinge,,,,,,,,,,,
q_wayofthebladeDesc,items,Quest Note,,,Use this if you already completed the Basics Quest Chain.,,"Benutze dies, wenn du die Grundlagen-Questkette bereits abgeschlossen hast.",,,,,,,,,,,
training_wayoftheblade,Quest,Quest Info,,,Way of the Blade,,Weg der Klinge,,,,,,,,,,,
training_wayoftheblade1,Quest,Quest Info,,,WOTB Novice 1/2,,WdK Anfänger 1/2,,,,,,,,,,,
training_wayoftheblade2,Quest,Quest Info,,,WOTB Novice 2/2,,WdK Anfänger 2/2,,,,,,,,,,,
training_wayoftheblade3,Quest,Quest Info,,,WOTB Apprentice 1/2,,WdK Lehrling 1/2,,,,,,,,,,,
training_wayoftheblade4,Quest,Quest Info,,,WOTB Apprentice 2/2,,WdK Lehrling 2/2,,,,,,,,,,,
training_wayoftheblade5,Quest,Quest Info,,,WOTB Journeyman 1/2,,WdK Geselle 1/2,,,,,,,,,,,
training_wayoftheblade6,Quest,Quest Info,,,WOTB Journeyman 2/2,,WdK Geselle 2/2,,,,,,,,,,,
training_wayoftheblade7,Quest,Quest Info,,,WOTB Expert 1/2,,WdK Experte 1/2,,,,,,,,,,,
training_wayoftheblade8,Quest,Quest Info,,,WOTB Expert 2/2,,WdK Experte 2/2,,,,,,,,,,,
training_wayoftheblade9,Quest,Quest Info,,,WOTB Master 1/2,,WdK Meister 1/2,,,,,,,,,,,
training_wayoftheblade10,Quest,Quest Info,,,WOTB Master 2/2,,WdK Meister 2/2,,,,,,,,,,,
training_wayoftheblade1_subtitle,Quest,Quest Info,,,Craft a Boneshiv,,Stelle ein Knochenmesser her!,,,,,,,,,,,
training_wayoftheblade2_subtitle,Quest,Quest Info,,,Test out the Boneshiv,,Probiere dein Knochenmesser aus.,,,,,,,,,,,
training_wayoftheblade3_subtitle,Quest,Quest Info,,,Obtain a Hunting Knife,,Erhalte ein Jagdmesser!,,,,,,,,,,,
training_wayoftheblade4_subtitle,Quest,Quest Info,,,Test out the Hunting Knife,,Probiere dein dein Jagdmesser aus.,,,,,,,,,,,
training_wayoftheblade5_subtitle,Quest,Quest Info,,,Obtain a Tanto,,Erhalte ein Tanto!,,,,,,,,,,,
training_wayoftheblade6_subtitle,Quest,Quest Info,,,Test out the Tanto,,Probiere dein Tanto aus.,,,,,,,,,,,
training_wayoftheblade7_subtitle,Quest,Quest Info,,,Obtain a Machete,,Erhalte eine Machete!,,,,,,,,,,,
training_wayoftheblade8_subtitle,Quest,Quest Info,,,Test out the Machete,,Probiere deine Machete aus.,,,,,,,,,,,
training_wayoftheblade9_subtitle,Quest,Quest Info,,,Obtain the Survivor's Katana,,Erhalte Katana des Überlebenden!,,,,,,,,,,,
training_wayoftheblade10_subtitle,Quest,Quest Info,,,Clense the land of Zombies,,Erkunde das Land der Zombies.,,,,,,,,,,,
training_wayoftheblade1_description,Quest,Quest Info,,,"Pick up a bone and craft yourself a Boneshiv. Quite handy for slashing and harvesting meat!",,"Sammle einen Knochen und bastle dir ein Knochenmesser. Ziemlich praktisch zum Aufschlitzen und Ernten von Fleisch!",,,,,,,,,,,
training_wayoftheblade2_description,Quest,Quest Info,,,"Now that you have the Boneshiv... get to killing. Aim for the head!",,"Jetzt, da du das Knochenmesser hast... fang an zu töten. Ziel auf den Kopf!",,,,,,,,,,,
training_wayoftheblade3_description,Quest,Quest Info,,,"Let's face it, the Boneshiv kinda sucks... Good news though, you have a better understanding of blades after killing a few Zomberts. Just enough to make one out of Iron.",,"Seien wir ehrlich, das Knochenmesser ist irgendwie scheiße... Die gute Nachricht jedoch ist, nachdem du ein paar Zomberts getötet hast, ist dein Verständnis für Klingen besser geworden. Gerade genug, um eine aus Eisen herzustellen.",,,,,,,,,,,
training_wayoftheblade4_description,Quest,Quest Info,,,"Not bad eh? Test it out on a few more Zomberts! You may learn even more about blades",,"Nicht schlecht, was? Teste es an ein paar weiteren Zomberts! Vielleicht lernst du noch mehr über Klingen.",,,,,,,,,,,
training_wayoftheblade5_description,Quest,Quest Info,,,"Sweet! I think you have a pretty good handle on wielding a blade. Go on and make a sharper and more efficient knife with the knowledge you gained.",,"Toll! Ich denke, du kannst ziemlich gut mit einer Klinge umgehen. Mach weiter und baue ein schärferes und effizienteres Messer mit dem Wissen, das du gewonnen hast.",,,,,,,,,,,
